x,y,height,momentum_x
0.025,0.025,8.7054,11.5263
0.075,0.025,8.66172,11.8705
0.125,0.025,8.61806,12.2116
0.175,0.025,8.57444,12.5493
0.225,0.025,8.53087,12.8835
0.275,0.025,8.48738,13.214
0.325,0.025,8.44399,13.5408
0.375,0.025,8.40073,13.8636
0.425,0.025,8.3576,14.1823
0.475,0.025,8.31463,14.4969
0.525,0.025,8.27185,14.807
0.575,0.025,8.22928,15.1128
0.625,0.025,8.18694,15.4138
0.675,0.025,8.14486,15.7102
0.725,0.025,8.10307,16.0016
0.775,0.025,8.0616,16.2879
0.825,0.025,8.02047,16.569
0.875,0.025,7.97974,16.8447
0.925,0.025,7.93944,17.1147
0.975,0.025,7.8996,17.379
1.025,0.025,7.86029,17.6372
1.075,0.025,7.82155,17.889
1.125,0.025,7.78344,18.1343
1.175,0.025,7.74603,18.3727
1.225,0.025,7.70939,18.6039
1.275,0.025,7.6736,18.8276
1.325,0.025,7.63874,19.0434
1.375,0.025,7.60491,19.2508
1.425,0.025,7.57221,19.4494
1.475,0.025,7.54074,19.6388
1.525,0.025,7.51061,19.8185
1.575,0.025,7.48195,19.988
1.625,0.025,7.45487,20.1469
1.675,0.025,7.42949,20.2947
1.725,0.025,7.4059,20.4311
1.775,0.025,7.38421,20.5556
1.825,0.025,7.36449,20.6681
1.875,0.025,7.34679,20.7685
1.925,0.025,7.33113,20.8568
1.975,0.025,7.3175,20.9334
2.025,0.025,7.30585,20.9985
2.075,0.025,7.29607,21.053
2.125,0.025,7.28805,21.0976
2.175,0.025,7.28162,21.1332
2.225,0.025,7.2766,21.161
2.275,0.025,7.27278,21.182
2.325,0.025,7.26998,21.1974
2.375,0.025,7.26799,21.2083
2.425,0.025,7.26665,21.2157
2.475,0.025,7.26579,21.2203
2.525,0.025,7.26528,21.223
2.575,0.025,7.26503,21.2243
2.625,0.025,7.26494,21.2247
2.675,0.025,7.26497,21.2245
2.725,0.025,7.26505,21.2239
2.775,0.025,7.26518,21.2231
2.825,0.025,7.26532,21.2223
2.875,0.025,7.26546,21.2214
2.925,0.025,7.2656,21.2205
2.975,0.025,7.26574,21.2197
3.025,0.025,7.26586,21.2189
3.075,0.025,7.26598,21.2181
3.125,0.025,7.26609,21.2174
3.175,0.025,7.26619,21.2168
3.225,0.025,7.26628,21.2162
3.275,0.025,7.26637,21.2156
3.325,0.025,7.26645,21.215
3.375,0.025,7.26653,21.2145
3.425,0.025,7.2666,21.214
3.475,0.025,7.26666,21.2135
3.525,0.025,7.26672,21.2131
3.575,0.025,7.26678,21.2127
3.625,0.025,7.26683,21.2123
3.675,0.025,7.26688,21.2119
3.725,0.025,7.26693,21.2115
3.775,0.025,7.26697,21.2112
3.825,0.025,7.26701,21.2108
3.875,0.025,7.26705,21.2105
3.925,0.025,7.26708,21.2102
3.975,0.025,7.26712,21.2099
4.025,0.025,7.26715,21.2096
4.075,0.025,7.26718,21.2093
4.125,0.025,7.2672,21.2091
4.175,0.025,7.26723,21.2088
4.225,0.025,7.26725,21.2085
4.275,0.025,7.26727,21.2083
4.325,0.025,7.26729,21.2081
4.375,0.025,7.26731,21.2078
4.425,0.025,7.26733,21.2076
4.475,0.025,7.26734,21.2074
4.525,0.025,7.26736,21.2072
4.575,0.025,7.26737,21.207
4.625,0.025,7.26738,21.2067
4.675,0.025,7.26739,21.2065
4.725,0.025,7.2674,21.2063
4.775,0.025,7.26741,21.2061
4.825,0.025,7.26742,21.206
4.875,0.025,7.26743,21.2058
4.925,0.025,7.26744,21.2056
4.975,0.025,7.26744,21.2054
5.025,0.025,7.26745,21.2052
5.075,0.025,7.26745,21.2051
5.125,0.025,7.26745,21.2049
5.175,0.025,7.26746,21.2047
5.225,0.025,7.26746,21.2045
5.275,0.025,7.26746,21.2044
5.325,0.025,7.26746,21.2042
5.375,0.025,7.26746,21.204
5.425,0.025,7.26746,21.2039
5.475,0.025,7.26746,21.2037
5.525,0.025,7.26746,21.2035
5.575,0.025,7.26746,21.2034
5.625,0.025,7.26746,21.2032
5.675,0.025,7.26745,21.203
5.725,0.025,7.26745,21.2029
5.775,0.025,7.26745,21.2027
5.825,0.025,7.26744,21.2025
5.875,0.025,7.26744,21.2024
5.925,0.025,7.26743,21.2022
5.975,0.025,7.26743,21.202
6.025,0.025,7.26742,21.2019
6.075,0.025,7.26741,21.2017
6.125,0.025,7.26741,21.2016
6.175,0.025,7.2674,21.2014
6.225,0.025,7.26739,21.2012
6.275,0.025,7.26738,21.2011
6.325,0.025,7.26737,21.2009
6.375,0.025,7.26736,21.2007
6.425,0.025,7.26735,21.2006
6.475,0.025,7.26734,21.2004
6.525,0.025,7.26734,21.2002
6.575,0.025,7.26733,21.2
6.625,0.025,7.26732,21.1998
6.675,0.025,7.26731,21.1997
